date,time,status,stand,no
2023-05-10,00:20,At gate 23:55 (09/05/2023),D305L,UO 651
2023-05-10,00:30,At gate 00:11,R15,UO 873
2023-05-10,01:05,At gate 00:56,W124,UO 781
2023-05-10,01:15,At gate 00:46,N7,UO 627
2023-05-10,01:25,At gate 01:37,N30,TK 9225
2023-05-10,02:00,At gate 01:06,W125,BI 3404
2023-05-10,03:10,At gate 02:19,N145,TK 9201
2023-05-10,04:40,At gate 04:39,N28,UO 623
2023-05-10,05:00,At gate 04:57,S3,CX 811
2023-05-10,05:00,At gate 04:33,S1,CX 829
2023-05-10,05:00,At gate 04:46,N5,UA 877
2023-05-10,05:10,At gate 04:46,S4,LX 9502
2023-05-10,05:15,At gate 05:16,S23,CX 676
2023-05-10,05:40,At gate 05:34,N68,TK 9222
2023-05-10,05:40,At gate 05:29,S2,MH 9211
2023-05-10,05:50,At gate 05:26,N60,AA 8902
2023-05-10,06:00,At gate 06:02,W50,AA 8931
2023-05-10,06:05,At gate 05:46,S25,AA 8918
2023-05-10,06:10,At gate 06:43,S41,CX 640
2023-05-10,06:45,At gate 06:47,S27,AA 8934
2023-05-10,06:55,At gate 07:03,S43,LX 9510
2023-05-10,06:55,At gate 06:52,N32,CX 260
2023-05-10,06:55,At gate 08:04,W69,CX 382
2023-05-10,07:00,At gate 06:52,N64,AA 8888
2023-05-10,07:20,At gate 07:32,W65,LH 7014
2023-05-10,07:30,At gate 08:08,N24,BA 4146
2023-05-10,07:30,At gate 08:04,W61,QF 8237
2023-05-10,07:45,At gate 07:45,R16,TK 9226
2023-05-10,07:55,At gate 07:49,N36,CX 252
2023-05-10,08:10,At gate 08:24,N8,5J 272
2023-05-10,08:30,At gate 08:22,N28,5J 150
2023-05-10,08:50,At gate 09:16,N26,HX 1819
2023-05-10,08:55,At gate 08:43,N9,5J 240
2023-05-10,09:10,At gate 09:07,R19,CX 449
2023-05-10,09:10,At gate 11:42,N64,AA 8944
2023-05-10,09:15,At gate 09:31,S11,CI 601
2023-05-10,09:45,At gate 09:48,N28,5J 110
2023-05-10,09:45,At gate 09:29,N10,FD 515
2023-05-10,09:50,At gate 09:14,S3,QF 8214
2023-05-10,09:55,At gate 09:52,S31,CX 407
2023-05-10,09:55,At gate 09:34,W40,CX 624
2023-05-10,10:05,At gate 10:25,S29,TR 980
2023-05-10,10:05,At gate 10:44,S23,CI 903
2023-05-10,10:10,At gate 09:43,N62,PR 300
2023-05-10,10:10,At gate 10:09,N8,FD 508
2023-05-10,10:15,At gate 10:17,S47,HU 8510
