date,time,status,gate,no
2023-06-03,00:05,Dep 00:04,41,AA 8933
2023-06-03,00:15,Dep 00:20,3,IB 1961
2023-06-03,00:20,Dep 00:28,2,LA 5642
2023-06-03,00:25,Dep 01:02,31,CX 233
2023-06-03,00:25,Dep 00:28,5,JU 8317
2023-06-03,00:30,Dep 00:39,40,HX 1566
2023-06-03,00:35,Dep 00:44,60,TP 6349
2023-06-03,00:45,Dep 00:54,35,CX 888
2023-06-03,00:45,Dep 00:59,24,EY 8495
2023-06-03,00:50,Dep 00:52,4,AA 8930
2023-06-03,00:50,Dep 01:53,32,MM 068
2023-06-03,01:05,Dep 01:00,18,TK 9223
2023-06-03,01:20,Dep 01:19,45,QR 5844
2023-06-03,01:50,Dep 01:50,64,QR 5838
2023-06-03,07:00,Dep 06:56,8,CX 5820
2023-06-03,07:05,Dep 07:01,41,UO 850
2023-06-03,07:15,Dep 07:07,16,HX 676
2023-06-03,07:15,Dep 07:07,27,UO 618
2023-06-03,07:20,Dep 07:20,25,CX 366
2023-06-03,07:20,Dep 07:24,15,CX 907
2023-06-03,07:35,Dep 07:31,65,UO 600
2023-06-03,07:45,Dep 07:42,14,UO 550
2023-06-03,07:55,Dep 08:06,43,CX 982
2023-06-03,08:00,Dep 08:05,10,CX 488
2023-06-03,08:00,Dep 08:03,1,AA 8898
2023-06-03,08:00,Dep 08:13,28,AA 8906
2023-06-03,08:00,Dep 08:04,521,UO 130
2023-06-03,08:10,Dep 08:30,24,AA 8966
2023-06-03,08:10,Dep 08:29,30,JL 7054
2023-06-03,08:10,Dep 08:16,29,CX 596
2023-06-03,08:15,Dep 08:14,21,HU 8492
2023-06-03,08:15,Dep 08:15,18,OZ 9294
2023-06-03,08:15,Dep 08:30,19,JL 7068
2023-06-03,08:15,Dep 08:14,63,MH 9189
2023-06-03,08:15,Dep 08:30,40,PR 3201
2023-06-03,08:15,Dep 08:15,511,HB 520
2023-06-03,08:25,Dep 08:46,6,ET 1761
2023-06-03,08:25,Dep 08:57,520,HB 681
2023-06-03,08:30,Dep 08:45,522,CA 118
2023-06-03,08:30,Dep 09:05,46,QR 5817
2023-06-03,08:35,Dep 08:48,42,AA 8910
2023-06-03,08:40,Dep 08:52,17,HU 8516
2023-06-03,08:45,Dep 09:07,48,JL 7030
2023-06-03,08:50,Dep 08:58,45,CX 432
2023-06-03,09:00,Dep 09:02,36,GA 873
2023-06-03,09:00,Dep 09:07,23,CA 6510
2023-06-03,09:00,Dep 09:34,70,CX 901
2023-06-03,09:05,Dep 09:15,26,SQ 899
2023-06-03,09:05,Dep 09:20,69,AA 8880
2023-06-03,09:05,Dep 09:09,4,CX 830
2023-06-03,09:10,Dep 09:23,64,BA 4132
2023-06-03,09:15,Dep 09:22,50,AI 7160
2023-06-03,09:15,Dep 09:30,66,QF 8215
2023-06-03,09:15,Dep 09:27,33,AA 8913
2023-06-03,09:20,Dep 09:35,44,CX 368
2023-06-03,09:20,Dep 09:42,62,AA 8887
2023-06-03,09:20,Dep 09:29,8,5J 149
2023-06-03,09:20,Dep 09:22,513,HB 530
2023-06-03,09:25,Dep 10:49,34,5J 273
2023-06-03,09:30,Dep 09:40,71,CX 348
2023-06-03,09:30,Dep 09:45,9,AA 8940
2023-06-03,09:30,Dep 09:27,11,NZ 4148
2023-06-03,09:40,Dep 09:49,523,BR 2898
2023-06-03,09:40,Dep 11:00,30,5J 241
2023-06-03,09:40,Dep 09:42,7,JL 730
2023-06-03,09:50,Dep 10:05,24,HX 1820
2023-06-03,09:50,Dep 09:58,2,JL 7044
2023-06-03,09:55,Dep 10:02,13,HU 8084
2023-06-03,10:00,Dep 10:27,25,AA 8915
2023-06-03,10:00,Dep 09:57,68,CA 6522
2023-06-03,10:10,Dep 10:23,63,QF 8213
2023-06-03,10:15,Dep 10:07,28,CI 602
2023-06-03,10:20,Dep 10:35,1,CX 494
2023-06-03,10:20,Dep 10:34,65,JL 7052
2023-06-03,10:25,Dep 10:31,40,CX 356
2023-06-03,10:30,Dep 10:31,29,AA 8882
2023-06-03,10:35,Dep 10:45,520,UO 870
2023-06-03,10:40,Dep 10:33,6,HA 5382
2023-06-03,10:45,Dep 10:48,46,UO 110
2023-06-03,10:45,Dep 10:33,26,FD 516
2023-06-03,10:50,Dep 10:50,18,UO 620
2023-06-03,11:00,Dep 12:04,36,JL 7058
2023-06-03,11:00,Dep 11:42,50,5J 111
2023-06-03,11:00,Dep 11:00,511,CX 5172
2023-06-03,11:05,Dep 11:28,33,TR 981
2023-06-03,11:05,Dep 11:27,8,CI 904
2023-06-03,11:05,Dep 11:15,43,CX 239
2023-06-03,11:10,Dep 11:22,64,PR 301
2023-06-03,11:10,Dep 10:58,27,HU 8052
2023-06-03,11:10,Dep 11:11,9,FD 509
2023-06-03,11:15,Dep 11:19,31,BA 4577
2023-06-03,11:15,Dep 11:05,10,HX 658
2023-06-03,11:15,Dep 11:12,5,UA 862
2023-06-03,11:20,Dep 11:21,14,UO 898
2023-06-03,11:30,Dep 11:38,35,TK 8876
2023-06-03,11:30,Dep 11:31,42,CX 2717
2023-06-03,11:35,Dep 11:27,62,FM 3026
2023-06-03,11:55,Dep 12:04,26,AK 139
2023-06-03,12:00,Dep 12:11,4,CA 6502
2023-06-03,12:05,Dep 12:07,68,FM 3002
2023-06-03,12:15,Dep 12:20,70,CX 960
2023-06-03,12:20,Dep 12:31,65,MF 382
2023-06-03,12:25,Dep 15:47,27,SQ 875
2023-06-03,12:25,Dep 12:22,40,UO 112
2023-06-03,12:30,Dep 12:37,7,MF 8656
2023-06-03,12:35,Dep 12:39,29,HX 775
2023-06-03,12:35,Dep 12:36,19,UO 638
2023-06-03,12:45,Dep 12:42,69,CA 102
2023-06-03,12:45,Dep 12:51,66,MH 9195
2023-06-03,12:45,Dep 12:44,18,UO 132
2023-06-03,12:45,Dep 13:07,63,WY 5903
2023-06-03,12:50,Dep 12:49,33,CA 104
2023-06-03,12:50,Dep 12:48,25,FM 3022
2023-06-03,12:55,Dep 13:41,60,CA 3856
2023-06-03,12:55,Dep 12:51,13,CX 2474
2023-06-03,13:00,Dep 12:59,21,UO 646
2023-06-03,13:05,Dep 13:00,9,GS 7964
2023-06-03,13:10,Dep 13:01,16,HU 8359
2023-06-03,13:10,Dep 13:15,45,BA 4147
2023-06-03,13:20,Dep 13:15,35,9C 8716
2023-06-03,13:25,Dep 13:27,32,CX 253
2023-06-03,13:35,Dep 13:38,15,CA 6518
2023-06-03,13:35,Dep 13:26,8,CZ 310
2023-06-03,13:40,Dep 13:41,31,HX 1824
2023-06-03,13:40,Dep 13:42,71,CX 360
2023-06-03,13:40,Dep 13:30,10,SC 4790
2023-06-03,13:55,Dep 13:51,27,CI 910
2023-06-03,14:00,Dep 14:04,34,UO 650
2023-06-03,14:05,Dep 14:00,28,CX 919
2023-06-03,14:10,Dep 14:09,46,BA 4571
2023-06-03,14:25,Dep 14:26,44,CX 418
2023-06-03,14:25,Dep 14:19,1,OM 5637
2023-06-03,14:30,Dep 14:34,25,ZH 9086
2023-06-03,14:35,Dep 14:41,64,CA 112
2023-06-03,14:35,Dep 15:47,70,QR 4971
2023-06-03,14:40,Dep 14:31,17,HU 8209
2023-06-03,14:45,Dep 14:54,62,UO 114
2023-06-03,14:55,Dep 14:56,26,BA 4145
2023-06-03,14:55,Dep 14:54,13,UO 688
2023-06-03,15:00,Dep 14:58,6,CX 380
2023-06-03,15:00,Dep 15:51,11,HX 1204
2023-06-03,15:05,Dep 16:18,24,UA 7918
2023-06-03,15:05,Dep 15:17,29,HO 3504
2023-06-03,15:10,Dep 15:08,60,CA 766
2023-06-03,15:10,Dep 15:10,30,JL 7048
2023-06-03,15:15,Dep 15:14,7,HA 5000
2023-06-03,15:20,Dep 15:26,34,VN 595
2023-06-03,15:25,Dep 15:24,47,CA 420
2023-06-03,15:25,Dep 15:34,31,HX 1826
2023-06-03,15:25,Dep 15:36,40,BA 4563
2023-06-03,15:30,Dep 15:34,16,BI 3403
2023-06-03,15:35,Dep 15:48,21,HU 8361
2023-06-03,15:35,Dep 15:45,10,FD 501
2023-06-03,15:40,Dep 15:58,23,SQ 893
2023-06-03,15:45,Dep 15:48,65,CX 472
2023-06-03,15:45,Dep 16:17,48,BA 4573
2023-06-03,15:50,Dep 16:05,62,HU 8192
2023-06-03,15:50,Dep 16:08,18,UO 780
2023-06-03,15:55,Dep 16:03,67,PG 4560
2023-06-03,16:00,Dep 16:00,68,MU 504
2023-06-03,16:05,Dep 16:16,28,HX 773
2023-06-03,16:15,Dep 15:55,69,ET 644
2023-06-03,16:15,Dep 17:14,32,MH 9184
2023-06-03,16:20,Dep 16:22,63,JL 7032
2023-06-03,16:25,Dep 16:26,33,QR 5832
2023-06-03,16:25,Dep 16:30,17,CX 5558
2023-06-03,16:30,Dep 16:51,29,JL 7056
2023-06-03,16:35,Dep 17:08,4,CX 903
2023-06-03,16:40,Dep 16:47,35,AA 8901
2023-06-03,16:45,Dep 16:48,26,AE 5312
2023-06-03,16:45,Dep 17:00,49,AA 8935
2023-06-03,16:45,Dep 16:43,521,CX 5744
2023-06-03,16:50,Dep 16:56,71,CA 3362
2023-06-03,16:50,Dep 16:56,43,CX 458
2023-06-03,16:50,Dep 16:59,46,AC 9797
2023-06-03,16:50,Dep 16:55,50,UO 626
2023-06-03,16:55,Dep 16:59,14,UO 702
2023-06-03,16:55,Dep 17:23,8,JL 5363
2023-06-03,17:00,Dep 16:52,60,FM 3024
2023-06-03,17:05,Dep 17:02,19,MF 9040
2023-06-03,17:15,Dep 17:16,10,MF 8714
2023-06-03,17:25,Dep 17:31,47,CA 428
2023-06-03,17:25,Dep 17:34,1,CX 364
2023-06-03,17:30,Dep 17:48,24,CA 110
2023-06-03,17:30,Dep 17:42,31,GJ 8054
2023-06-03,17:35,Dep 18:26,23,CI 916
2023-06-03,17:35,Dep 17:32,40,UO 622
2023-06-03,17:45,Dep 17:58,28,TK 8722
2023-06-03,17:45,Dep 18:25,9,AA 8886
2023-06-03,17:45,Dep 17:45,67,CX 978
2023-06-03,17:50,Dep 17:56,62,9C 8922
2023-06-03,17:50,Dep 17:52,69,CX 990
2023-06-03,17:55,Dep 17:44,42,HX 1202
2023-06-03,17:55,Dep 18:18,66,AA 8889
2023-06-03,18:00,Dep 19:24,10,PR 307
2023-06-03,18:00,Dep 20:24,31,TG 5866
2023-06-03,18:05,Dep 18:06,70,MU 5016
2023-06-03,18:05,Dep 18:05,16,TK 9200
2023-06-03,18:05,Dep 18:08,13,HB 504
2023-06-03,18:15,Dep 18:21,41,CX 402
2023-06-03,18:15,Dep 18:02,11,Z2 1265
2023-06-03,18:30,Dep 18:29,43,OM 2972
2023-06-03,18:35,Dep 18:38,14,BR 2892
2023-06-03,18:35,Dep 18:26,65,AA 8895
2023-06-03,18:35,Dep 18:32,15,UO 116
2023-06-03,18:45,Cancelled,,RA 410
2023-06-03,18:50,Dep 18:48,32,FM 810
2023-06-03,18:50,Dep 18:45,26,3U 3960
2023-06-03,18:50,Dep 18:49,35,MF 8652
2023-06-03,19:00,Dep 18:59,4,CA 6508
2023-06-03,19:05,Dep 19:12,63,BA 4575
2023-06-03,19:05,Dep 19:11,46,WE 5639
2023-06-03,19:10,Dep 19:51,45,LA 5643
2023-06-03,19:25,Dep 19:26,40,5J 113
2023-06-03,19:30,Dep 19:37,5,JU 8318
2023-06-03,19:30,Dep 21:19,23,LY 8791
2023-06-03,19:35,Dep 19:50,28,HX 1832
2023-06-03,19:45,Dep 19:44,18,CX 5226
2023-06-03,19:50,Dep 19:46,71,VJ 877
